"word_lex_0";"word_form_0";"word_gramm_0";"word_pos_0";"dist_0";"word_lex_1";"word_form_1";"word_gramm_1";"word_pos_1";"dist_1";"word_lex_2";"word_form_2";"word_gramm_2";"word_pos_2";"freq";"freq_CI_bottom";"freq_CI_upper";"ipm";"ipm_CI_bottom";"ipm_CI_upper";"hits";"hits_CI_bottom";"hits_CI_upper"
"расход";"расходы";"S,inan,m,nom,pl";"S";"1";"на";"на";"PR";"PR";"1";"реклама";"рекламу";"S,acc,f,inan,sg";"S";"1.2e-05";"6.864703940008596e-06";"2.0976789104111725e-05";"0.03299818563066442";"0.018876897909329757";"0.057682998399398125";"12.851832";"7.352001813894046";"22.4658474554562"
"роспись";"роспись";"S,f,inan,nom,sg";"S";"1";"по";"по";"PR";"PR";"1";"дерево";"дереву";"S,dat,inan,n,sg";"S";"1.2e-05";"6.864703940008596e-06";"2.0976789104111725e-05";"0.03299818563066442";"0.018876897909329757";"0.057682998399398125";"12.851832";"7.352001813894046";"22.4658474554562"
"рот";"рот";"S,inan,m,nom,sg";"S";"1";"в";"в";"PR";"PR";"1";"рот";"рот";"S,acc,inan,m,sg";"S";"1.2e-05";"6.864703940008596e-06";"2.0976789104111725e-05";"0.03299818563066442";"0.018876897909329757";"0.057682998399398125";"12.851832";"7.352001813894046";"22.4658474554562"
"рука";"рука";"S,f,inan,nom,sg";"S";"1";"на";"на";"PR";"PR";"1";"перевязь";"перевязи";"S,f,inan,loc,sg";"S";"1.2e-05";"6.864703940008596e-06";"2.0976789104111725e-05";"0.03299818563066442";"0.018876897909329757";"0.057682998399398125";"12.851832";"7.352001813894046";"22.4658474554562"
"сведение";"сведения";"S,inan,n,nom,pl";"S";"1";"о";"о";"PR";"PR";"1";"место";"месте";"S,inan,loc,n,sg";"S";"1.2e-05";"6.864703940008596e-06";"2.0976789104111725e-05";"0.03299818563066442";"0.018876897909329757";"0.057682998399398125";"12.851832";"7.352001813894046";"22.4658474554562"
"сведение";"сведения";"S,inan,n,nom,pl";"S";"1";"о";"о";"PR";"PR";"1";"состав";"составе";"S,inan,loc,m,sg";"S";"1.2e-05";"6.864703940008596e-06";"2.0976789104111725e-05";"0.03299818563066442";"0.018876897909329757";"0.057682998399398125";"12.851832";"7.352001813894046";"22.4658474554562"
"свет";"свет";"S,inan,m,nom,sg";"S";"1";"за";"за";"PR";"PR";"1";"окно";"окном";"S,inan,ins,n,sg";"S";"1.2e-05";"6.864703940008596e-06";"2.0976789104111725e-05";"0.03299818563066442";"0.018876897909329757";"0.057682998399398125";"12.851832";"7.352001813894046";"22.4658474554562"
"свидетель";"свидетель";"S,anim,m,nom,sg";"S";"1";"по";"по";"PR";"PR";"1";"дело";"делу";"S,dat,inan,n,sg";"S";"1.2e-05";"6.864703940008596e-06";"2.0976789104111725e-05";"0.03299818563066442";"0.018876897909329757";"0.057682998399398125";"12.851832";"7.352001813894046";"22.4658474554562"
"сигарета";"сигареты";"S,f,inan,nom,pl";"S";"1";"с";"с";"PR";"PR";"1";"фильтр";"фильтром";"S,inan,ins,m,sg";"S";"1.2e-05";"6.864703940008596e-06";"2.0976789104111725e-05";"0.03299818563066442";"0.018876897909329757";"0.057682998399398125";"12.851832";"7.352001813894046";"22.4658474554562"
"сила";"сила";"S,f,inan,nom,sg";"S";"1";"в";"в";"PR";"PR";"1";"борьба";"борьбе";"S,f,inan,loc,sg";"S";"1.2e-05";"6.864703940008596e-06";"2.0976789104111725e-05";"0.03299818563066442";"0.018876897909329757";"0.057682998399398125";"12.851832";"7.352001813894046";"22.4658474554562"
"случай";"случай";"S,inan,m,nom,sg";"S";"1";"на";"на";"PR";"PR";"1";"станция";"станции";"S,f,inan,loc,sg";"S";"1.2e-05";"6.864703940008596e-06";"2.0976789104111725e-05";"0.03299818563066442";"0.018876897909329757";"0.057682998399398125";"12.851832";"7.352001813894046";"22.4658474554562"
"собака";"собака";"S,anim,f,nom,sg";"S";"1";"на";"на";"PR";"PR";"1";"забор";"заборе";"S,inan,loc,m,sg";"S";"1.2e-05";"6.864703940008596e-06";"2.0976789104111725e-05";"0.03299818563066442";"0.018876897909329757";"0.057682998399398125";"12.851832";"7.352001813894046";"22.4658474554562"
"собака";"собака";"S,anim,f,nom,sg";"S";"1";"на";"на";"PR";"PR";"1";"сено";"сене";"S,inan,loc,n,sg";"S";"1.2e-05";"6.864703940008596e-06";"2.0976789104111725e-05";"0.03299818563066442";"0.018876897909329757";"0.057682998399398125";"12.851832";"7.352001813894046";"22.4658474554562"
"собор";"собор";"S,inan,m,nom,sg";"S";"1";"в";"в";"PR";"PR";"1";"москва";"москве";"S,f,inan,loc,sg,topon";"S";"1.2e-05";"6.864703940008596e-06";"2.0976789104111725e-05";"0.03299818563066442";"0.018876897909329757";"0.057682998399398125";"12.851832";"7.352001813894046";"22.4658474554562"
"соседка";"соседки";"S,anim,f,nom,pl";"S";"1";"по";"по";"PR";"PR";"1";"комната";"комнате";"S,dat,f,inan,sg";"S";"1.2e-05";"6.864703940008596e-06";"2.0976789104111725e-05";"0.03299818563066442";"0.018876897909329757";"0.057682998399398125";"12.851832";"7.352001813894046";"22.4658474554562"
"спасибо";"спасибо";"S,0,inan,n,nom,sg";"S";"1";"за";"за";"PR";"PR";"1";"телеграмма";"телеграмму";"S,acc,f,inan,sg";"S";"1.2e-05";"6.864703940008596e-06";"2.0976789104111725e-05";"0.03299818563066442";"0.018876897909329757";"0.057682998399398125";"12.851832";"7.352001813894046";"22.4658474554562"
"спрос";"спрос";"S,inan,m,nom,sg";"S";"1";"на";"на";"PR";"PR";"1";"жилье";"жилье";"S,acc,inan,n,sg";"S";"1.2e-05";"6.864703940008596e-06";"2.0976789104111725e-05";"0.03299818563066442";"0.018876897909329757";"0.057682998399398125";"12.851832";"7.352001813894046";"22.4658474554562"
"средство";"средства";"S,inan,n,nom,pl";"S";"1";"на";"на";"PR";"PR";"1";"содержание";"содержание";"S,acc,inan,n,sg";"S";"1.2e-05";"6.864703940008596e-06";"2.0976789104111725e-05";"0.03299818563066442";"0.018876897909329757";"0.057682998399398125";"12.851832";"7.352001813894046";"22.4658474554562"
"стеснение";"стеснение";"S,inan,n,nom,sg";"S";"1";"в";"в";"PR";"PR";"1";"грудь";"груди";"S,f,inan,loc2,sg";"S";"1.2e-05";"6.864703940008596e-06";"2.0976789104111725e-05";"0.03299818563066442";"0.018876897909329757";"0.057682998399398125";"12.851832";"7.352001813894046";"22.4658474554562"
"стихи";"стихи";"S,inan,m,nom,pl";"S";"1";"о";"о";"PR";"PR";"1";"любовь";"любви";"S,f,inan,loc,sg";"S";"1.2e-05";"6.864703940008596e-06";"2.0976789104111725e-05";"0.03299818563066442";"0.018876897909329757";"0.057682998399398125";"12.851832";"7.352001813894046";"22.4658474554562"
"стол";"стол";"S,inan,m,nom,sg";"S";"1";"для";"для";"PR";"PR";"1";"обед";"обеда";"S,gen,inan,m,sg";"S";"1.2e-05";"6.864703940008596e-06";"2.0976789104111725e-05";"0.03299818563066442";"0.018876897909329757";"0.057682998399398125";"12.851832";"7.352001813894046";"22.4658474554562"
"стол";"стол";"S,inan,m,nom,sg";"S";"1";"с";"с";"PR";"PR";"1";"закуска";"закусками";"S,f,inan,ins,pl";"S";"1.2e-05";"6.864703940008596e-06";"2.0976789104111725e-05";"0.03299818563066442";"0.018876897909329757";"0.057682998399398125";"12.851832";"7.352001813894046";"22.4658474554562"
"стрелка";"стрелка";"S,f,inan,nom,sg";"S";"1";"на";"на";"PR";"PR";"1";"часы";"часах";"S,inan,loc,m,pl";"S";"1.2e-05";"6.864703940008596e-06";"2.0976789104111725e-05";"0.03299818563066442";"0.018876897909329757";"0.057682998399398125";"12.851832";"7.352001813894046";"22.4658474554562"
"стремление";"стремление";"S,inan,n,nom,sg";"S";"1";"к";"к";"PR";"PR";"1";"равенство";"равенству";"S,dat,inan,n,sg";"S";"1.2e-05";"6.864703940008596e-06";"2.0976789104111725e-05";"0.03299818563066442";"0.018876897909329757";"0.057682998399398125";"12.851832";"7.352001813894046";"22.4658474554562"
"стремление";"стремление";"S,inan,n,nom,sg";"S";"1";"к";"к";"PR";"PR";"1";"расширение";"расширению";"S,dat,inan,n,sg";"S";"1.2e-05";"6.864703940008596e-06";"2.0976789104111725e-05";"0.03299818563066442";"0.018876897909329757";"0.057682998399398125";"12.851832";"7.352001813894046";"22.4658474554562"
"стремление";"стремление";"S,inan,n,nom,sg";"S";"1";"к";"к";"PR";"PR";"1";"цель";"цели";"S,dat,f,inan,sg";"S";"1.2e-05";"6.864703940008596e-06";"2.0976789104111725e-05";"0.03299818563066442";"0.018876897909329757";"0.057682998399398125";"12.851832";"7.352001813894046";"22.4658474554562"
"табличка";"табличка";"S,f,inan,nom,sg";"S";"1";"на";"на";"PR";"PR";"1";"дверь";"двери";"S,f,inan,loc2,sg";"S";"1.2e-05";"6.864703940008596e-06";"2.0976789104111725e-05";"0.03299818563066442";"0.018876897909329757";"0.057682998399398125";"12.851832";"7.352001813894046";"22.4658474554562"
"танцы";"танцы";"S,inan,m,nom,pl";"S";"1";"до";"до";"PR";"PR";"1";"утро";"утра";"S,gen,inan,n,sg";"S";"1.2e-05";"6.864703940008596e-06";"2.0976789104111725e-05";"0.03299818563066442";"0.018876897909329757";"0.057682998399398125";"12.851832";"7.352001813894046";"22.4658474554562"
"телеграмма";"телеграмма";"S,f,inan,nom,sg";"S";"1";"из";"из";"PR";"PR";"1";"париж";"парижа";"S,gen,inan,m,sg,topon";"S";"1.2e-05";"6.864703940008596e-06";"2.0976789104111725e-05";"0.03299818563066442";"0.018876897909329757";"0.057682998399398125";"12.851832";"7.352001813894046";"22.4658474554562"
"трещина";"трещины";"S,f,inan,nom,pl";"S";"1";"в";"в";"PR";"PR";"1";"стена";"стенах";"S,f,inan,loc,pl";"S";"1.2e-05";"6.864703940008596e-06";"2.0976789104111725e-05";"0.03299818563066442";"0.018876897909329757";"0.057682998399398125";"12.851832";"7.352001813894046";"22.4658474554562"
"уход";"уход";"S,inan,m,nom,sg";"S";"1";"из";"из";"PR";"PR";"1";"дом";"дома";"S,gen,inan,m,sg";"S";"1.2e-05";"6.864703940008596e-06";"2.0976789104111725e-05";"0.03299818563066442";"0.018876897909329757";"0.057682998399398125";"12.851832";"7.352001813894046";"22.4658474554562"
"уход";"уход";"S,inan,m,nom,sg";"S";"1";"из";"из";"PR";"PR";"1";"мир";"мира";"S,gen,inan,m,sg";"S";"1.2e-05";"6.864703940008596e-06";"2.0976789104111725e-05";"0.03299818563066442";"0.018876897909329757";"0.057682998399398125";"12.851832";"7.352001813894046";"22.4658474554562"
"участие";"участие";"S,inan,n,nom,sg";"S";"1";"в";"в";"PR";"PR";"1";"выставка";"выставках";"S,f,inan,loc,pl";"S";"1.2e-05";"6.864703940008596e-06";"2.0976789104111725e-05";"0.03299818563066442";"0.018876897909329757";"0.057682998399398125";"12.851832";"7.352001813894046";"22.4658474554562"
"участие";"участие";"S,inan,n,nom,sg";"S";"1";"в";"в";"PR";"PR";"1";"проведение";"проведении";"S,inan,loc,n,sg";"S";"1.2e-05";"6.864703940008596e-06";"2.0976789104111725e-05";"0.03299818563066442";"0.018876897909329757";"0.057682998399398125";"12.851832";"7.352001813894046";"22.4658474554562"
"фильм";"фильм";"S,inan,m,nom,sg";"S";"1";"с";"с";"PR";"PR";"1";"участие";"участием";"S,inan,ins,n,sg";"S";"1.2e-05";"6.864703940008596e-06";"2.0976789104111725e-05";"0.03299818563066442";"0.018876897909329757";"0.057682998399398125";"12.851832";"7.352001813894046";"22.4658474554562"
"хиротония";"хиротония";"S,f,inan,nom,sg";"S";"1";"во";"во";"PR";"PR";"1";"епископ";"епископа";"S,acc,anim,m,sg";"S";"1.2e-05";"6.864703940008596e-06";"2.0976789104111725e-05";"0.03299818563066442";"0.018876897909329757";"0.057682998399398125";"12.851832";"7.352001813894046";"22.4658474554562"
"хождение";"хождение";"S,inan,n,nom,sg";"S";"1";"по";"по";"PR";"PR";"1";"круг";"кругу";"S,dat,inan,m,sg";"S";"1.2e-05";"6.864703940008596e-06";"2.0976789104111725e-05";"0.03299818563066442";"0.018876897909329757";"0.057682998399398125";"12.851832";"7.352001813894046";"22.4658474554562"
"царь";"царь";"S,anim,m,nom,sg";"S";"1";"с";"с";"PR";"PR";"1";"семья";"семьей";"S,f,inan,ins,sg";"S";"1.2e-05";"6.864703940008596e-06";"2.0976789104111725e-05";"0.03299818563066442";"0.018876897909329757";"0.057682998399398125";"12.851832";"7.352001813894046";"22.4658474554562"
"цена";"цена";"S,f,inan,nom,sg";"S";"1";"на";"на";"PR";"PR";"1";"земля";"землю";"S,acc,f,inan,sg";"S";"1.2e-05";"6.864703940008596e-06";"2.0976789104111725e-05";"0.03299818563066442";"0.018876897909329757";"0.057682998399398125";"12.851832";"7.352001813894046";"22.4658474554562"
"человек";"люди";"S,anim,m,nom,pl";"S";"1";"со";"со";"PR";"PR";"1";"средство";"средствами";"S,inan,ins,n,pl";"S";"1.2e-05";"6.864703940008596e-06";"2.0976789104111725e-05";"0.03299818563066442";"0.018876897909329757";"0.057682998399398125";"12.851832";"7.352001813894046";"22.4658474554562"
